ablation,auroc_mean,auroc_std,aupr_mean,aupr_std,cliffs_delta_mean,cliffs_delta_std,prec_at_k_mean,prec_at_k_std,recall_at_k_mean,recall_at_k_std,f1_at_k_mean,f1_at_k_std,hits_at_k_mean,hits_at_k_std,ndcg_at_k_mean,ndcg_at_k_std
gc_dtw,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
gc_knn_align,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
gc_only,0.5435595794392524,0.054900937969347634,0.019775991051472954,0.005216781007861605,0.08711915887850435,0.10980187593869488,0.02666666666666665,0.043127067806553177,0.011428571428571404,0.01848302905995134,0.016,0.025876240683931916,0.8,1.293812034196596,0.02348507108917818,0.037715127201893364
gc_plus_krl,0.6365129339118826,0.13799503602949756,0.030156131996798462,0.015788518357576418,0.27302586782376415,0.27599007205899423,0.03333333333333332,0.05397374608183539,0.014285714285714264,0.02313160546364373,0.02,0.03238424764910125,1.0,1.6192123824550626,0.03963243083770377,0.06789267957905966
gc_spatial,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
krlflow_dtw,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
krlflow_knn_align,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
krlflow_only,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
krlflow_spatial,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
te_dtw,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
te_knn_align,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
te_only,0.5,0.0,0.0160919540229885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
te_plus_krl,0.6260921228304406,0.12794672313867816,0.024292659147765242,0.008647583790738251,0.2521842456608803,0.25589344627735544,0.004999999999999995,0.011952286093343924,0.00214285714285713,0.005122408325718799,0.003,0.0071713716560063605,0.15,0.3585685828003181,0.0053307171573287555,0.013292828015889789
te_spatial,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
tsmi_dtw,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
tsmi_knn_align,0.6683750278148642,0.1700829539648743,0.0486968757390223,0.03498809366684375,0.33675005562972743,0.34016590792974755,0.08055555555555555,0.09354351417659423,0.034523809523809505,0.040090077504254674,0.04833333333333333,0.056126108505956555,2.4166666666666665,2.8063054252978272,0.09411569642355852,0.11305136872747508
tsmi_only,0.6476194370271473,0.15126837675354482,0.03330067039058042,0.02037123722344383,0.2952388740542936,0.3025367535070886,0.03944444444444443,0.05309880741499864,0.016904761904761874,0.022756631749285116,0.023666666666666666,0.03185928444899918,1.1833333333333333,1.5929642224499592,0.04180087394680591,0.06414038994771683
tsmi_plus_krl,0.6594899866488652,0.16179251366441205,0.03850751672455565,0.02531552390378061,0.31897997329772926,0.32358502732882316,0.03666666666666665,0.05421539501798465,0.01571428571428569,0.02323516929342198,0.022000000000000002,0.032529237010790794,1.1,1.6264618505395394,0.04093747978738686,0.06434980614917198
