sim_id,runtime_seconds
1,3617.088380098343
2,4135.3939118385315
3,4446.069847106934
4,3659.7131049633026
5,2509.193848848343
6,2577.905392408371
7,2533.7524724006653
8,5115.814995765686
9,2679.1495277881622
10,2698.0463671684265
