metric,AUROC_base,AUROC_plusKRL,delta,p_perm
tsmi,0.5015781470693169,0.685500244977054,0.18392209790773706,0.0012484394506866417
te,0.4946213103767637,0.6103363516624228,0.11571504128565913,0.0012484394506866417
gc,0.509064761914071,0.545509986022257,0.03644522410818596,0.0012484394506866417
