recall,precision,threshold
1.0,0.46060606060606063,
1.0,0.46066951370712217,9.563209793691848e-08
1.0,0.4607329842931937,1.382358830345881e-07
1.0,0.4607964723715034,2.234066989607227e-07
0.999700956937799,0.46072216097023155,3.7200519948137534e-07
0.999700956937799,0.46078566505858026,3.9867573224612273e-07
0.9994019138755981,0.46071133167907363,4.0657601559956595e-07
0.9994019138755981,0.46077485178546806,4.144847636140007e-07
0.9994019138755981,0.460838389409818,4.865406106053399e-07
0.9994019138755981,0.4609019445593711,5.465303356237359e-07
0.9994019138755981,0.4609655172413793,6.948347936330866e-07
0.9991028708133971,0.4608911574010208,7.840503145511162e-07
0.9988038277511961,0.4608167770419426,7.999284417001454e-07
0.9988038277511961,0.4608803642886712,8.096280539705452e-07
0.9988038277511961,0.4609439690863925,8.529194476606117e-07
0.9988038277511961,0.4610075914423741,8.529370925297322e-07
0.9988038277511961,0.46107123136388733,9.003822242525703e-07
0.9985047846889952,0.46099682452022644,9.6413912647121e-07
0.9985047846889952,0.4610604805302403,1.0126929658258765e-06
0.9985047846889952,0.4611241541223588,1.0232684897345484e-06
0.9982057416267942,0.46104972375690606,1.0317366148667492e-06
0.9982057416267942,0.4611134134548971,1.0436265819887285e-06
0.9982057416267942,0.46117712075158884,1.05830415560981e-06
0.9982057416267942,0.46124084565427664,1.0619779117520907e-06
0.9982057416267942,0.4613045881702598,1.0726623443070877e-06
0.9979066985645934,0.46123013130615065,1.0813288744298102e-06
0.9979066985645934,0.4612938899640586,1.1481349314598504e-06
0.9979066985645934,0.461357666251901,1.1525037205803028e-06
0.9979066985645934,0.46142146017699115,1.1991334085085278e-06
0.9979066985645934,0.4614852717466464,1.2545600760776143e-06
0.9979066985645934,0.46154910096818813,1.2791877245229777e-06
0.9979066985645934,0.46161294784894175,1.3438568891935627e-06
0.9979066985645934,0.46167681239623687,1.3895548140023073e-06
0.9979066985645934,0.46174069461740697,1.4042555795477785e-06
0.9979066985645934,0.46180459451978967,1.6133226047150863e-06
0.9979066985645934,0.46186851211072666,1.6733165883525065e-06
0.9976076555023924,0.46179401993355484,1.708699274080608e-06
0.9973086124401914,0.46171950713000137,1.8823741501524606e-06
0.9973086124401914,0.46178343949044587,1.9157300551780633e-06
0.9973086124401914,0.46184738955823296,1.915734811534763e-06
0.9973086124401914,0.4619113573407202,1.9400257556371733e-06
0.9970095693779905,0.46183681950408645,2.056473934345383e-06
0.9970095693779905,0.46190080354668883,2.086573940424782e-06
0.9970095693779905,0.4619648053207704,2.0988552741348727e-06
0.9967105263157895,0.46189024390243905,2.1112027846520745e-06
0.9967105263157895,0.461954261954262,2.2311192440713765e-06
0.9967105263157895,0.46201829775436654,2.382571610909487e-06
0.9967105263157895,0.4620823513101345,2.4004716793513e-06
0.9967105263157895,0.4621464226289517,2.4073848193168434e-06
0.9964114832535885,0.4620718346969907,2.542358764018569e-06
0.9961124401913876,0.46199722607489596,2.5691631745085945e-06
0.9961124401913876,0.46206131224857816,2.575695762728833e-06
0.9961124401913876,0.46212541620421754,2.724185292413805e-06
0.9961124401913876,0.462189537949216,2.7328205825019833e-06
0.9961124401913876,0.46225367749097973,2.7612807174131987e-06
0.9961124401913876,0.4623178348369188,2.8714592067345482e-06
0.9958133971291866,0.4622431982232093,2.8731499796836566e-06
0.9958133971291866,0.4623073719283632,2.9883906188642105e-06
0.9955143540669856,0.4622327131352402,2.9991449204578947e-06
0.9952153110047847,0.46215803360644353,3.037690408597781e-06
0.9952153110047847,0.4622222222222222,3.2797787396209357e-06
0.9952153110047847,0.4622864286706487,3.329290461635133e-06
0.9952153110047847,0.46235065295915534,3.337012389860849e-06
0.9952153110047847,0.4624148950951785,3.3573108026979742e-06
0.9952153110047847,0.462479155086159,3.7042270066672027e-06
0.9952153110047847,0.46254343293954137,3.710262229037486e-06
0.9952153110047847,0.46260772866277455,3.761629038828599e-06
0.9949162679425837,0.4625330182121507,3.828673295416539e-06
0.9949162679425837,0.4625973303670745,3.83384560886253e-06
0.9946172248803827,0.4625225976915589,3.895052785799326e-06
0.9946172248803827,0.46258692628650905,3.956558096460677e-06
0.9946172248803827,0.46265127277785506,3.9813654621999895e-06
0.9946172248803827,0.46271563717306624,3.982331619152954e-06
0.9946172248803827,0.462780019479616,4.068527019176812e-06
0.9946172248803827,0.4628444197049819,4.255701150462443e-06
0.9946172248803827,0.46290883785664577,4.300992970738963e-06
0.9946172248803827,0.46297327394209353,4.370252803207087e-06
0.9946172248803827,0.46303772796881526,4.399631748838526e-06
0.9943181818181818,0.46296296296296297,4.428208306245094e-06
0.9940191387559809,0.4628881771341039,4.527339154509634e-06
0.9940191387559809,0.46295264623955434,4.550397860293721e-06
0.9940191387559809,0.4630171333054743,4.672137121235981e-06
0.99372009569378,0.462942323767066,4.906226892239993e-06
0.99372009569378,0.4630068273651944,4.97706986550278e-06
0.99372009569378,0.4630713489409142,5.043389635653552e-06
0.99372009569378,0.46313588850174214,5.078166727737127e-06
0.99372009569378,0.46320044605519933,5.118742606105779e-06
0.99372009569378,0.46326502160881083,5.238297458406972e-06
0.993421052631579,0.46319018404907975,5.341435798174242e-06
0.993421052631579,0.4632547761818435,5.4183501178264076e-06
0.993421052631579,0.46331938633193864,5.473900946621357e-06
0.993421052631579,0.46338401450690475,5.533325602657917e-06
0.993421052631579,0.4634486607142857,5.534928584551083e-06
0.993421052631579,0.46351332496162967,5.564310246429907e-06
0.993421052631579,0.46357800725648896,5.643279014807131e-06
0.993421052631579,0.4636427076064201,6.045802164585844e-06
