day,pair_class,te_krl
1,inter,0.0058356905032916516
1,intra_H,0.008388218379927129
1,intra_S,0.006144901347483097
2,inter,0.007607244477835679
2,intra_H,0.01282644295600358
2,intra_S,0.008496984519758029
3,inter,0.0057747475833086976
3,intra_H,0.005670714271497429
3,intra_S,0.007530802356616706
4,inter,0.006987041321788712
4,intra_H,0.014167674558668943
4,intra_S,0.007644214316787096
5,inter,0.008314859948578984
5,intra_H,0.016335973630147008
5,intra_S,0.00749879072441132
6,inter,0.008665788667701683
6,intra_H,0.017231047231290927
6,intra_S,0.007868785674016799
