pair_class,tsmi,te,gc,tsmi_krl,te_krl,gc_krl,day_file
intra_H,1.0000889005818234e-12,0.0047623175226571965,0.2298918921456541,0.004225300142138922,0.007668226697364751,0.2129409271612856,22_03_2011_C2
intra_S,1.927550657738114e-05,0.006092673586631037,0.20614160701741585,0.0002723809036806875,0.006144394984123681,0.20353083994688745,22_03_2011_C2
inter,6.4233832682705365e-06,0.005696639577355851,0.23816593024168908,0.00031920341113426346,0.005847802366314738,0.23616469929685482,22_03_2011_C2
intra_H,1.0000889005818355e-12,0.005234706262902418,0.23383148482798546,0.006502421408241,0.010298223934817845,0.21470551950703692,22_03_2011_C2
intra_S,1.0000889005818248e-12,0.0059287536762258845,0.24095969075440382,0.00022745139369217921,0.005966946769938526,0.23835348000824436,22_03_2011_C2
inter,3.8534942785190154e-05,0.005530170547974574,0.21964249210796025,0.00042120283416793224,0.005734876228063057,0.2165568061595424,22_03_2011_C2
intra_H,1.2839626461966316e-05,0.004818242955452531,0.2344407078991038,0.0035999745823899368,0.007274407345994503,0.21982778903799297,22_03_2011_C2
intra_S,1.000088900581812e-12,0.006252519788109934,0.3002747673460797,9.945306617321307e-05,0.006233335436006916,0.297749707902064,22_03_2011_C2
inter,1.0000889005818376e-12,0.0057829197190453875,0.23867944208697056,0.0002387326326485008,0.005893642355183807,0.23654036135898737,22_03_2011_C2
intra_H,1.0000889005818236e-12,0.005320868795116477,0.3222442310137783,0.005657196516552342,0.00948026010484236,0.2948853955129943,22_03_2011_C2
intra_S,3.852958599745055e-05,0.006564331118742539,0.27721377332632546,0.00020296204090445826,0.006575966509153539,0.27501304370160473,22_03_2011_C2
inter,1.00008890058184e-12,0.004644039855580476,0.22865172772588488,0.0006255027270079867,0.005102167187919564,0.22614478197323262,22_03_2011_C2
intra_H,2.568995954348196e-05,0.00604157729820108,0.24671692045988358,0.006267964075616297,0.010567079271538224,0.22775941041950512,22_03_2011_C2
intra_S,1.9270147804634116e-05,0.005320159226839561,0.21043019330048685,0.00032862395590918883,0.005457950253900558,0.20831224575317903,22_03_2011_C2
inter,1.9270147804634302e-05,0.004635537258474117,0.1840316328452713,0.0007415959854989937,0.005193809353529761,0.18162371573641617,22_03_2011_C2
intra_H,1.0000889005818331e-12,0.005429000604675534,0.197032175513761,0.004438561714599912,0.008471123880266095,0.1819443062062608,22_03_2011_C2
intra_S,1.0000889005818386e-12,0.005785848271266237,0.27212317549775145,0.0001486362147939534,0.005830293650423046,0.2698276870543969,22_03_2011_C2
inter,6.425169525852454e-06,0.0056830332225168345,0.2350635158909237,0.0003491114655462168,0.005911114799004973,0.23333805635350305,22_03_2011_C2
intra_H,1.285033805161655e-05,0.005403087260239725,0.46423198206299404,0.0050065645201727025,0.008761415210171623,0.42328260591622324,22_03_2011_C2
intra_S,1.00008890058183e-12,0.005676959846605734,0.22461868538684476,0.0001620890644122044,0.005718623286639805,0.22183733218792648,22_03_2011_C2
inter,4.7387471517050704e-05,0.005545208749819804,0.2896325854011697,0.0003540268481551231,0.005743178996555027,0.2874841048285546,22_03_2011_C2
intra_H,1.000088900581836e-12,0.004759330259084082,0.17447561876402878,0.005081560340423402,0.008573664934543267,0.1631012517699869,22_03_2011_C2
intra_S,1.0000889005818293e-12,0.006539023835296798,0.20514657998984348,0.0002913837075617406,0.006641683776607278,0.20110026710079412,22_03_2011_C2
inter,3.8536728049857284e-05,0.005786676962876206,0.1785603024199983,0.00035321358828557076,0.005975260301809431,0.17704516160857767,22_03_2011_C2
intra_H,5.4518116981872515e-05,0.004112261757604862,0.19191221344740114,0.0045959876650360975,0.007678920919823849,0.17511162086291582,22_03_2011_C2
intra_S,1.9259439192905056e-05,0.005642466925618106,0.363715992459496,0.000197684925203882,0.005635168027976129,0.3603894828243507,22_03_2011_C2
inter,2.569174778606957e-05,0.006030972965635236,0.26466690781936175,0.0003812315571364475,0.006218592949939955,0.2621096141004827,22_03_2011_C2
intra_H,7.70913077495926e-05,0.003514004963942859,0.3011689213570245,0.00419702008455781,0.006985430776027073,0.2853054449585243,22_03_2011_C2
intra_S,1.9259439192904958e-05,0.006905441450238891,0.2742738588678869,0.00016141072037514212,0.0068859042463770195,0.27263826712112055,22_03_2011_C2
inter,4.0958295245214585e-05,0.005771361530399562,0.28620562228753443,0.0006709559011357879,0.006176924783123804,0.282435359867033,22_03_2011_C2
intra_H,1.2839626461966233e-05,0.003110659549581903,0.24023925474997168,0.003943261161659989,0.0065116491038088265,0.22728954422087935,22_03_2011_C2
intra_S,1.0000889005818331e-12,0.006469526011471549,0.24379057786649572,0.0001495903144333584,0.006503647881167566,0.24209710647878807,22_03_2011_C2
inter,1.5275477761313406e-05,0.005968654841264968,0.24956366732124763,0.0006059172159680253,0.006395226214764049,0.24631257516931873,22_03_2011_C2
