fpr,tpr,threshold
0.0,0.0,inf
0.0002553626149131767,0.0,0.9999955799277412
0.0002553626149131767,0.0002990430622009569,0.999993908267656
0.0005107252298263534,0.0002990430622009569,0.9999894489151785
0.0005107252298263534,0.0008971291866028708,0.9999708920444492
0.0015321756894790602,0.0008971291866028708,0.9999344833830213
0.0015321756894790602,0.0011961722488038277,0.9999160745124789
0.001787538304392237,0.0011961722488038277,0.9998908101427869
0.001787538304392237,0.0017942583732057417,0.9998854780225926
0.0022982635342185904,0.0017942583732057417,0.9997965176456921
0.0022982635342185904,0.0023923444976076554,0.9997817542201183
0.002553626149131767,0.0023923444976076554,0.9997546072616164
0.002553626149131767,0.0026913875598086126,0.9997313484670918
0.003319713993871297,0.0026913875598086126,0.9996730326986504
0.003319713993871297,0.0029904306220095694,0.9996689149961447
0.003830439223697651,0.0029904306220095694,0.9996350649690156
0.003830439223697651,0.003289473684210526,0.999595245962707
0.0040858018386108275,0.003289473684210526,0.9995829424299143
0.0040858018386108275,0.0035885167464114833,0.9995393767060253
0.004341164453524004,0.0035885167464114833,0.999536141132438
0.004341164453524004,0.00388755980861244,0.9995258674774807
0.005107252298263534,0.00388755980861244,0.9993873744668669
0.005107252298263534,0.004485645933014354,0.9992661616009673
0.005362614913176711,0.004485645933014354,0.9992255618075805
0.005362614913176711,0.004784688995215311,0.9991949463233043
0.0056179775280898875,0.004784688995215311,0.9991646902479581
0.0056179775280898875,0.005382775119617225,0.9991469402644622
0.005873340143003065,0.005382775119617225,0.9991332774473035
0.005873340143003065,0.005681818181818182,0.9990957553141762
0.006128702757916241,0.005681818181818182,0.9990657259930857
0.006128702757916241,0.005980861244019139,0.999006912552503
0.006639427987742594,0.005980861244019139,0.9986236619986437
0.006639427987742594,0.0062799043062200955,0.9986041089487545
0.007405515832482125,0.0062799043062200955,0.998554884294572
0.007405515832482125,0.007177033492822967,0.9985334417858581
0.008171603677221655,0.007177033492822967,0.9981178872102093
0.008171603677221655,0.00777511961722488,0.998058196165027
0.008682328907048007,0.00777511961722488,0.9979940782578306
0.008682328907048007,0.008672248803827751,0.9978282296108367
0.008937691521961185,0.008672248803827751,0.9977668334206206
0.008937691521961185,0.009569377990430622,0.9975266222751294
0.009193054136874362,0.009569377990430622,0.9974972489871168
0.009193054136874362,0.009868421052631578,0.9974948994738415
0.009448416751787538,0.009868421052631578,0.9974342502056545
0.009448416751787538,0.010167464114832535,0.9974052914972771
0.010214504596527068,0.010167464114832535,0.9973097431135725
0.010214504596527068,0.010466507177033494,0.9971602426172193
0.010469867211440245,0.010466507177033494,0.9970958508152135
0.010469867211440245,0.011363636363636364,0.9965789446145615
0.010980592441266599,0.011363636363636364,0.996475512390505
0.010980592441266599,0.01166267942583732,0.9964148546719416
0.01174668028600613,0.01166267942583732,0.9962315812335258
0.01174668028600613,0.011961722488038277,0.996231398194261
0.012257405515832482,0.011961722488038277,0.9959617698411349
0.012257405515832482,0.012260765550239234,0.9959332781854219
0.01251276813074566,0.012260765550239234,0.9959135114294835
0.01251276813074566,0.012858851674641148,0.9956311557916441
0.013023493360572012,0.012858851674641148,0.9955242787049206
0.013023493360572012,0.013157894736842105,0.9954379698334009
0.014555669050051073,0.013157894736842105,0.994789953810431
0.014555669050051073,0.01375598086124402,0.9947121676333107
0.015321756894790603,0.01375598086124402,0.9942626057496281
0.015321756894790603,0.014055023923444977,0.9942404701727939
0.016087844739530132,0.014055023923444977,0.9941073500117054
0.016087844739530132,0.014952153110047847,0.9938454144509029
0.01634320735444331,0.014952153110047847,0.993689062645072
0.01634320735444331,0.01555023923444976,0.9936362436461815
0.017620020429009193,0.01555023923444976,0.9931747471675779
0.017620020429009193,0.015849282296650717,0.9930943407549181
0.018130745658835545,0.015849282296650717,0.99281991117058
0.018130745658835545,0.01644736842105263,0.9927571502790454
0.0186414708886619,0.01644736842105263,0.9923086767560917
0.0186414708886619,0.01674641148325359,0.9922070001156756
0.018896833503575076,0.01674641148325359,0.9920159596444059
0.018896833503575076,0.017045454545454544,0.9917902726236596
0.019152196118488254,0.017045454545454544,0.991613549013112
0.019152196118488254,0.017344497607655503,0.9915024672768636
0.02017364657814096,0.017344497607655503,0.9911260232771416
0.02017364657814096,0.017643540669856458,0.9910988018539496
0.02093973442288049,0.017643540669856458,0.9909480707461109
0.02093973442288049,0.018839712918660288,0.9901025285479197
0.021961184882533197,0.018839712918660288,0.9899497757985841
0.021961184882533197,0.019437799043062202,0.9895742256100529
0.022982635342185902,0.019437799043062202,0.9888871430107938
0.022982635342185902,0.02033492822966507,0.9884682153157197
0.02323799795709908,0.02033492822966507,0.9884206310536434
0.02323799795709908,0.02063397129186603,0.9882986897666773
0.02349336057201226,0.02063397129186603,0.9882146670955194
0.02349336057201226,0.021232057416267942,0.9881136575522393
0.02425944841675179,0.021232057416267942,0.9877998071656524
0.02425944841675179,0.022129186602870814,0.9872869516654417
0.02553626149131767,0.022129186602870814,0.9864453070542148
0.02553626149131767,0.02242822966507177,0.9863025783690631
0.026302349336057202,0.02242822966507177,0.9859574233729849
0.026302349336057202,0.023026315789473683,0.9857567717059385
0.026813074565883555,0.023026315789473683,0.985436310259728
0.026813074565883555,0.02332535885167464,0.9851368229555456
0.027068437180796732,0.02332535885167464,0.9850353457800408
0.027068437180796732,0.023624401913875596,0.9846692537673284
0.027323799795709907,0.023624401913875596,0.983979230239662
0.027323799795709907,0.023923444976076555,0.9838021057160778
0.028089887640449437,0.023923444976076555,0.9830243671593738
0.028089887640449437,0.024222488038277513,0.982888486154536
