win_start,win_end,src,tgt,tsmi,te,gc,krl,gate,dist,align,coloc,svar,src_group,tgt_group,tsmi_krl,te_krl,gc_krl,day_file
9000,12600,7,0,1.000088900581808e-12,0.0,0.09579063876117788,0.00821408208764393,0.1631223113919072,35.02998492269553,0.027915940524228734,0.24666666666666667,0.9098965267016418,S,H,0.0001932771603443215,0.00019327715936795798,0.09392675619921631,29_03_2011_C2
9000,12600,8,0,1.0000889005819008e-12,0.010363121939023001,0.0,0.005854887023961548,0.10926911710716265,45.27474014289342,0.012420668568203301,0.12805555555555556,0.9827400032374491,S,H,7.094996622367041e-05,0.010309056935053894,7.094996523577162e-05,29_03_2011_C2
9000,12600,9,0,1.0000889005818113e-12,0.007251952651934568,0.9643706297474283,0.008094515739973267,0.1965004250602374,24.28287068774133,0.028722126694670464,0.2708333333333333,0.9665259980332478,S,H,0.0002643112591868741,0.007279265457714609,0.9564462480613265,29_03_2011_C2
9000,12600,10,0,0.0003851887648564119,0.0,0.0,0.005652747094341621,0.12719240697688117,36.746987808513055,0.024195817158298702,0.1975,0.8596007178397094,S,H,0.0004649735906370428,8.565206159561554e-05,8.565206159561554e-05,29_03_2011_C2
9000,12600,0,1,1.0000889005818113e-12,0.0013500126050471906,0.10359071192974068,0.02441364040544018,0.8666748602155937,7.017607718188101,0.2373249990944576,0.455,0.9179101501897927,H,H,0.00824516501970547,0.009128725289604117,0.07961059426788963,29_03_2011_C2
9000,12600,2,1,1.0000889005818113e-12,0.0047675668803850435,0.001887152328121533,0.026678364093476195,0.8053698321445555,10.972699153447703,0.1990331266558903,0.41888888888888887,0.8074926536660145,H,H,0.007417685561252157,0.010830627911504076,0.008767123619669531,29_03_2011_C2
9000,12600,3,1,1.0000889005818113e-12,0.0011866348364810708,0.17297434372998444,0.025142172095358017,0.6171076553297433,38.87343412904799,0.005183788479468481,0.22805555555555557,0.9403177405269444,H,H,0.0043563856966951815,0.00533248678694354,0.15174650631429434,29_03_2011_C2
9000,12600,4,1,1.0000889005819008e-12,0.004997190887543024,0.0,0.027216129193699104,0.8410067044213393,11.286942393496373,0.1575545804351223,0.4072222222222222,0.9040692328633331,H,H,0.008436498314085984,0.011850234478193928,0.008436498313404341,29_03_2011_C2
9000,12600,5,1,1.0000889005818113e-12,0.0,0.011131015714905157,0.023869222081851243,0.8690815803004733,6.669058429209748,0.17195582560296138,0.4077777777777778,0.9939234669139216,H,H,0.008142596843710773,0.008142596843059992,0.015428080536995868,29_03_2011_C2
9000,12600,6,1,1.000088900581808e-12,0.005704553856227479,0.027595087272849095,0.02274676150035734,0.37429248332084336,35.75827549119812,0.027782246300480474,0.2025,0.9889497617563799,S,H,0.0018686862509837894,0.007096614469695104,0.027207777120361838,29_03_2011_C2
9000,12600,7,1,1.0000889005818113e-12,0.0,0.5999860296467137,0.02151754544403414,0.28753291165329237,57.89941936668662,0.04159844190281833,0.1213888888888889,0.9919266614123518,S,H,0.0011115907514582144,0.0011115907505109017,0.5861511393828568,29_03_2011_C2
9000,12600,8,1,1.0000889005818113e-12,0.00704622803811672,0.2529151426273304,0.02367520700139278,0.2723640973596052,63.69646600288023,0.0036619742359339114,0.057777777777777775,0.9350781611112922,S,H,0.0010332437413550152,0.0077668436435598025,0.24538825948141516,29_03_2011_C2
9000,12600,9,1,1.0000889005818113e-12,0.009055119093593023,0.99281991117058,0.024776662868924437,0.35769621937312057,45.611511579467376,0.03505800386154361,0.18388888888888888,0.8847528331232279,S,H,0.0017740707893064275,0.010170627711155442,0.976084815344596,29_03_2011_C2
9000,12600,10,1,0.0003855101125458968,0.0025518212922677197,0.49405870435392163,0.02292539734742639,0.26255644894372476,54.93700271854371,0.016264029299135785,0.10805555555555556,0.7800459171350941,S,H,0.00128232398300298,0.003360685547421916,0.48388413222486226,29_03_2011_C2
9000,12600,0,2,1.0000889005818161e-12,0.0008860147244296179,0.0,0.0042157241133469565,0.411979661356198,8.933819648594326,0.19749972731092552,0.5383333333333333,0.7296747268839929,H,H,0.000444930314570177,0.0012371230945828712,0.0004449303136760831,29_03_2011_C2
9000,12600,1,2,1.0000889005819008e-12,0.0,0.0,0.0047768377066678995,0.4335050032802108,10.972699153447703,0.1990331266558903,0.41888888888888887,0.8074926536660145,H,H,0.0005245028424932287,0.0005245028416034754,0.0005245028416034754,29_03_2011_C2
9000,12600,3,2,1.0000889005818113e-12,0.0010835147868990536,0.5537788400222671,0.004684455633220514,0.19834320927283464,43.414524815834426,0.07476375894550048,0.1922222222222222,0.750674957767235,H,H,0.0001295505104255855,0.0011829923557258736,0.546236952557172,29_03_2011_C2
9000,12600,4,2,1.0000889005818113e-12,0.0008841599917945864,0.1323797887687831,0.010451663525799189,0.7998569535304919,1.8734681208017354,0.3999801993504832,0.6741666666666667,0.9016063480979368,H,H,0.0035703802810360366,0.004149613696777651,0.09620992895141332,29_03_2011_C2
9000,12600,5,2,1.0000889005818113e-12,0.005665927299616236,0.5647284765072275,0.0026977037629411973,0.367204609101394,8.27382433655843,0.16594971427578598,0.5247222222222222,0.8016481480656712,H,H,0.00024734800600290937,0.005395317757204877,0.539554085897218,29_03_2011_C2
9000,12600,6,2,1.0000889005819008e-12,0.0,0.0,0.0024344523144274616,0.07258787768426987,37.56350552022444,-0.029522581503048664,0.15305555555555556,0.7968745145258749,S,H,1.4796421352587368e-05,1.4796420358591731e-05,1.4796420358591731e-05,29_03_2011_C2
9000,12600,7,2,1.0000889005819008e-12,0.0,0.0,0.0031182279750257337,0.11629002071344138,41.72443401569127,0.09150227768370299,0.1963888888888889,0.8152789029755498,S,H,4.028362424469797e-05,4.0283623257569266e-05,4.0283623257569266e-05,29_03_2011_C2
9000,12600,8,2,1.0000889005818161e-12,0.0002825110207902437,0.0,0.0028935874745073635,0.06665818461992587,45.16411000084275,-0.0005816244932595696,0.08611111111111111,0.7457484332951972,S,H,1.4163286677309395e-05,0.00029528788494889187,1.4163285682129811e-05,29_03_2011_C2
9000,12600,9,2,1.0000889005818079e-12,0.0011617231049840804,0.705840905940897,0.005739830672611175,0.16906082235878792,23.55512065705103,0.06578796988059446,0.3163888888888889,0.6989251120543384,S,H,0.00013384842105728314,0.0012683570160150137,0.6994422004544929,29_03_2011_C2
