pair_class,tsmi,te,gc,tsmi_krl,te_krl,gc_krl,day_file
intra_H,1.000088900581822e-12,0.004065433929728838,0.2070279628342627,0.0022583083385101094,0.005623441752675683,0.19171374694877047,29_03_2011_C2
intra_S,1.000088900581827e-12,0.005845998193047808,0.2915404927552119,0.0018326834350812094,0.007434359437656706,0.28621992119039874,29_03_2011_C2
inter,1.0000889005818204e-12,0.005209506116588736,0.19634139838571008,0.0004127110226381343,0.005441998509167554,0.19509933696581502,29_03_2011_C2
intra_H,1.0000889005818388e-12,0.004193324545366125,0.13985097344792483,0.00254431987727013,0.006030384815276541,0.13251807513886338,29_03_2011_C2
intra_S,1.0000889005818295e-12,0.005832851575286513,0.18171295410779284,0.0004973052828459396,0.006122630492620315,0.18049007206922602,29_03_2011_C2
inter,1.527055819030973e-05,0.005324522071174553,0.2045879374266919,0.00040649275621638595,0.005586385514284517,0.20307270544370512,29_03_2011_C2
intra_H,1.2846765536452027e-05,0.00376858917274517,0.30489476180890057,0.003071148732765517,0.006072166900518549,0.28953129299685454,29_03_2011_C2
intra_S,1.0000889005818297e-12,0.006383501901297805,0.27816153072998534,0.0003737778922302124,0.006443445397342875,0.27197762245290047,29_03_2011_C2
inter,6.423383268270216e-06,0.00481095240208674,0.28234931684666703,0.00047860165751893133,0.005169986598732204,0.28023045098056804,29_03_2011_C2
intra_H,1.2843195007118511e-05,0.004532506111350839,0.24716935931171588,0.0021948567653375496,0.006028076680843827,0.23861953952737927,29_03_2011_C2
intra_S,1.0000889005818303e-12,0.006408872594950421,0.23926808230989058,0.0002893197926967104,0.006470487089516719,0.23668451975615717,29_03_2011_C2
inter,1.2848551794033859e-05,0.00556604176002505,0.20084576333652865,0.00034469167359865857,0.005774436536599784,0.19939118836638053,29_03_2011_C2
intra_H,1.2839626461966192e-05,0.004005032550505675,0.17663623854215815,0.002618963484213538,0.005949920944960299,0.16740800054669672,29_03_2011_C2
intra_S,1.925943919290496e-05,0.007046564814893552,0.16128215371059515,0.0006401964393405095,0.007281933949159496,0.15575828721549356,29_03_2011_C2
inter,1.0000889005818305e-12,0.006076937639258965,0.21982048594387463,0.0003646122318136335,0.006266176856466881,0.2174179251669397,29_03_2011_C2
intra_H,1.284319500711769e-05,0.0035208116765125252,0.27652304185105625,0.0029913954922211458,0.005904923522313454,0.2645436879562115,29_03_2011_C2
intra_S,1.0000889005818305e-12,0.007547845172043599,0.15724166789654698,0.000600291407491913,0.0076527004436503995,0.15441514855094934,29_03_2011_C2
inter,1.2844982256791081e-05,0.0057120622840203025,0.22403264816658183,0.00038159962625820425,0.005906921969805278,0.22162377345951947,29_03_2011_C2
intra_H,1.0000889005818378e-12,0.0037387042440969465,0.32555352495352496,0.002804652693509116,0.005948023987055838,0.3079267692873956,29_03_2011_C2
intra_S,1.0000889005818246e-12,0.00783358681237043,0.34157203199039865,0.0005289917463967513,0.007880661613110018,0.3332709988031683,29_03_2011_C2
inter,6.4215980036041235e-06,0.005185948074527483,0.21521234001326187,0.0010329460214797946,0.00590056067148902,0.21224948684481384,29_03_2011_C2
intra_H,1.0000889005818355e-12,0.0024777791579648693,0.305582634127715,0.0025854358599199266,0.004703531736534965,0.2975128627040434,29_03_2011_C2
intra_S,1.9264792010631873e-05,0.00912875469211999,0.31350228616088766,0.0013624948249460146,0.009774330306870048,0.30835209972139704,29_03_2011_C2
inter,1.9261223465480784e-05,0.005521844840206791,0.1650052158067695,0.0008950162839390607,0.006137668536980983,0.1627802646822887,29_03_2011_C2
intra_H,1.000088900581832e-12,0.002477540905814098,0.26923627313153814,0.002146067056703232,0.0042835074987810935,0.2542417532110987,29_03_2011_C2
intra_S,1.000088900581834e-12,0.007022612403297823,0.2984729259418888,0.001719009190942088,0.008253672864819463,0.2901193105653007,29_03_2011_C2
inter,1.526833570890674e-05,0.0055603580679187805,0.21268755976272577,0.0004888173586310365,0.005841830537087623,0.2102134154531622,29_03_2011_C2
intra_H,1.000088900581827e-12,0.0037276841448360114,0.2418408461439869,0.00187753682628883,0.005108287950845136,0.22999514190078033,29_03_2011_C2
intra_S,1.0000889005818186e-12,0.007746401282630033,0.3572976174466624,0.0004528741175205686,0.007845032063019116,0.35088524209662586,29_03_2011_C2
inter,1.927014879754884e-05,0.00497856878135926,0.23769631263399307,0.0003172945308999088,0.005126451144236478,0.23569064346826077,29_03_2011_C2
intra_H,0.00011730798924437025,0.0040570653930000365,0.19677847957348515,0.003404447615347843,0.006725591196666335,0.18563425743842157,29_03_2011_C2
intra_S,1.0000889005818246e-12,0.007472365709914275,0.27654788255358387,0.00048660242738810856,0.007679572265018619,0.27232148242679827,29_03_2011_C2
inter,2.5697103580894914e-05,0.00570541124652939,0.33761955562245405,0.0008854584679511854,0.006369806541545355,0.33336788935666295,29_03_2011_C2
