metric,high_gate_q,low_gate_q,n_high,n_low,mean_high,mean_low,mean_diff_high_minus_low,cliffs_delta,p_mannwhitney,p_ttest
krlflow,0.9999926085695763,0.971785978064929,57,57,0.5165702071389108,0.5112022872531525,0.005367919885758243,0.3388734995383194,1.529523870715677e-05,0.024467975675833822
tsmi,0.9999926085695763,0.971785978064929,57,57,0.5017023432899188,0.48956201980360736,0.012140323486311444,0.08895044629116648,0.38207052047752765,0.25135223556638603
te,0.9999926085695763,0.971785978064929,57,57,0.48802722929632936,0.50552435635251,-0.017497127056180672,-0.06955986457371496,0.4918973746539874,0.26383813227493935
gc,0.9999926085695763,0.971785978064929,57,57,0.5083964245710073,0.4893936045412297,0.0190028200297776,0.07417666974453677,0.4558766809192235,0.3534359811575152
