simulacao,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,gate,r2_auto,r2_gain_max,lag_cons,is_true
1,0,600,0,1,0.1807805350642867,0.6947984388943433,0.003760235312824989,0.6695328536722506,0.9999632841803942,0.9250057391828288,0.18853881631437114,0.5033992756558101,
1,0,600,1,0,0.16624673097249748,0.6460441718362085,0.0,0.9701099320902654,0.9989837033090054,0.9689882145034955,0.16641767463220225,0.5001697537700704,
1,600,1200,0,1,0.26110590565019404,0.5180048739220899,0.0,0.07669301701284537,0.8477574942652799,0.7258953207474113,0.2613486847005919,0.5001760703931333,
1,600,1200,1,0,0.2899811619586058,0.4022546298242211,0.0066957988199580765,0.9696053920400278,0.998536956682748,0.6193140147117165,0.2910496894193506,0.500678647738331,
1,1200,1800,0,1,0.29111563516818306,0.13295067619930712,0.0,0.212034919042152,0.9991227390234887,0.7064644971645209,0.2956307855613968,0.5033619069642549,
1,1200,1800,1,0,0.23913801556367567,0.11502271369218309,0.0,0.5468590523588149,0.9554595421734131,0.5689050778153087,0.24060013235198685,0.5012162090417993,
1,1800,2400,0,1,0.38666444056033017,0.28870553947469235,0.0,0.9994976848955298,0.9999999994698348,0.4978234945197444,0.3924760892020128,0.5025850190352736,
1,1800,2400,1,0,0.22738371612984504,0.2741341858359859,0.0,0.2859941923199658,0.9929516922487613,0.5292063028205141,0.2294228089997028,0.501419273705163,
1,2400,3000,0,1,0.29703150038355736,0.5456068476103526,0.0,0.9865806318781069,0.9999999935742638,0.591660718615503,0.2977675918536127,0.5005791468368952,
1,2400,3000,1,0,0.3378305521554066,0.45539454301985527,0.0,0.6735815437087783,0.9999999999857587,0.6175174990063417,0.3404766760386667,0.5018177581836176,
1,3000,3600,0,1,0.22599521323613622,0.34283127995721896,0.0031635290081939438,0.7561495472452882,0.4370625060072423,0.5485245768755748,0.22846123386535058,0.5019812544294144,
1,3000,3600,1,0,0.19252894982610808,0.45722118207729856,0.0,0.21055668027197605,0.0021322424193485033,0.5578467534905456,0.1977418912588933,0.5028805143071204,
1,3600,4200,0,1,0.2524194332456191,0.2574603865741544,0.0,0.7076642983549508,0.9999981438023551,0.7483953427822372,0.25397662072450944,0.5005724242990239,
1,3600,4200,1,0,0.1794274101014232,0.28335339054103825,0.0009130176075105023,0.9854673669683357,0.9953524970417856,0.9446225245375137,0.18112593825249013,0.5013206632976782,
1,4200,4800,0,1,0.2659302765155807,0.011748944887696955,0.0,0.897741716444059,0.02018354004387517,0.4091018558746289,0.26993193155519657,0.5033653014722461,
1,4200,4800,1,0,0.2223112630551784,0.1865897142884887,0.0,0.21649964401917443,0.0067719935135744916,0.6479792248444032,0.22359159028922265,0.5010055367419114,
1,4800,5400,0,1,0.23346539493758522,0.2691874869112272,0.0,0.9851333800239829,3.2072861496517466e-11,0.7620841812370347,0.2381269006544299,0.502110659473604,
1,4800,5400,1,0,0.3088323931652561,0.17548435431890408,0.0,0.5281091602772238,3.21619855919771e-11,0.6095423260885254,0.31762433616391816,0.5059965748919617,
1,5400,6000,0,1,0.3345882321693394,0.315788666196097,0.0,0.9989420854066602,0.9999981521868191,0.6066957117943823,0.34000174228418095,0.5028588289862979,
1,5400,6000,1,0,0.2047755939086785,0.14540273684201444,0.0,0.4337071747430068,0.9962087417191824,0.4798032059757503,0.2150567767894009,0.5060729944564388,
1,6000,6600,0,1,0.15236529480074423,0.45505563015851447,0.0,0.9999378787207444,0.9997773365125335,0.9584122764140696,0.15469607454995016,0.5022578979263483,
1,6000,6600,1,0,0.1937107332965686,0.5314491589030381,0.0,0.9594067419181984,0.9999697282149551,0.9234352794264845,0.20171005993086755,0.5053830777297805,
