fpr,tpr,threshold
0.0,0.0,inf
0.0,0.008771929824561403,2.219868257014899
0.0,0.017543859649122806,2.1628120210364217
0.008771929824561403,0.017543859649122806,2.0714728568960377
0.008771929824561403,0.02631578947368421,1.8811589053465316
0.02631578947368421,0.03508771929824561,1.8241026693680542
0.05263157894736842,0.05263157894736842,1.7327635052276704
0.05263157894736842,0.06140350877192982,1.675707269249193
0.06140350877192982,0.13157894736842105,1.6415725259323408
0.06140350877192982,0.14912280701754385,1.4505057121706977
0.06140350877192982,0.17543859649122806,1.4262383229042328
0.07017543859649122,0.17543859649122806,1.399703699501843
0.07017543859649122,0.18421052631578946,1.264915722610933
0.07894736842105263,0.19298245614035087,1.2351715091425894
0.07894736842105263,0.20175438596491227,1.2078594866324557
0.08771929824561403,0.21052631578947367,1.1400221398080277
0.08771929824561403,0.21929824561403508,1.116520322492072
0.10526315789473684,0.21929824561403508,0.9849457706774216
0.12280701754385964,0.2807017543859649,0.9809939685978797
0.12280701754385964,0.30701754385964913,0.9262063709425656
0.13157894736842105,0.3157894736842105,0.9239377326194023
0.14035087719298245,0.3333333333333333,0.9139766911248461
0.14035087719298245,0.35964912280701755,0.8350153916472361
0.14912280701754385,0.3684210526315789,0.7779591556687587
0.14912280701754385,0.37719298245614036,0.7778109708237045
0.17543859649122806,0.39473684210526316,0.7656597655697717
0.18421052631578946,0.40350877192982454,0.7086035295912942
0.20175438596491227,0.42105263157894735,0.686619991528375
0.21929824561403508,0.42105263157894735,0.6462364190090543
0.21929824561403508,0.4298245614035088,0.5624767677955964
0.22807017543859648,0.4473684210526316,0.5550454397137248
0.22807017543859648,0.4649122807017544,0.4712857885002669
0.24561403508771928,0.4824561403508772,0.4066500395948637
0.24561403508771928,0.5,0.28250681586208504
0.2807017543859649,0.5087719298245614,0.19131583656675555
0.2807017543859649,0.5175438596491229,0.1850696054040618
0.2894736842105263,0.5350877192982456,0.17443683431277496
0.2894736842105263,0.543859649122807,0.14856594836018688
0.2982456140350877,0.543859649122807,0.12210979952158355
0.2982456140350877,0.5526315789473685,0.11805232793102836
0.30701754385964913,0.5614035087719298,0.11738059833429754
0.3684210526315789,0.5701754385964912,0.02604143419391386
0.37719298245614036,0.5701754385964912,0.0002490228051121868
0.37719298245614036,0.5789473684210527,-0.0035611823890658867
0.39473684210526316,0.5789473684210527,-0.030264597624046305
0.40350877192982454,0.5964912280701754,-0.03101480178456356
0.42105263157894735,0.5964912280701754,-0.040975843279119586
0.4298245614035088,0.6052631578947368,-0.06743199211772292
0.4298245614035088,0.6140350877192983,-0.0895583996048025
0.4473684210526316,0.6140350877192983,-0.09490034652944956
0.45614035087719296,0.6140350877192983,-0.09803207925759701
0.4649122807017544,0.6228070175438597,-0.10553311762073642
0.47368421052631576,0.6228070175438597,-0.12798615782998002
0.5,0.631578947368421,-0.16258935359921384
0.5263157894736842,0.6491228070175439,-0.18929276883419427
0.5263157894736842,0.6578947368421053,-0.2463490048126717
0.5701754385964912,0.7192982456140351,-0.2539285177395975
0.5789473684210527,0.7280701754385965,-0.3102345495575577
0.5964912280701754,0.7543859649122807,-0.31098475371807494
0.5964912280701754,0.7631578947368421,-0.3167651304681619
0.6052631578947368,0.7719298245614035,-0.32094579521263095
0.6052631578947368,0.7807017543859649,-0.3367691729599474
0.6228070175438597,0.7807017543859649,-0.424537998200059
0.7105263157894737,0.8421052631578947,-0.46926272076770564
0.7280701754385965,0.8508771929824561,-0.49579734417009536
0.7280701754385965,0.8859649122807017,-0.526318956746183
0.7631578947368421,0.8859649122807017,-0.7885647151644413
0.7807017543859649,0.8947368421052632,-0.8291767309806602
0.7807017543859649,0.9122807017543859,-0.9867657431905431
0.7894736842105263,0.9122807017543859,-1.0445109340087684
0.7894736842105263,0.9298245614035088,-1.0685346670979525
0.7982456140350878,0.9298245614035088,-1.1015671699872458
0.8157894736842105,0.9385964912280702,-1.1091466829141716
0.8421052631578947,0.9649122807017544,-1.1763075348298497
0.8421052631578947,0.9736842105263158,-1.2026201092258084
0.8596491228070176,0.9736842105263158,-1.3244808859422799
0.8771929824561403,0.9736842105263158,-1.3832611932866135
0.9122807017543859,0.9912280701754386,-1.456277486763361
0.9122807017543859,1.0,-1.540037137976819
0.9210526315789473,1.0,-1.604672886882222
0.9385964912280702,1.0,-1.9883154011346282
1.0,1.0,-7.555092971680057
