win_end,delta_0to1_minus_1to0
600,-0.4854121660277524
1200,-1.2787849511410865
1800,0.015725936271361082
2400,0.4529738347837446
3000,0.42321288433861326
3600,0.04482600693354516
4200,-0.20154202954561667
4800,0.0010399558311242896
5400,0.6605785573293128
6000,0.4519995119625196
6600,-0.777304061735124
7200,0.11983824366551371
7800,1.0770651912201783
8400,-0.16616738362541705
9000,-0.9932288553237794
9600,-0.5749632147456532
10200,0.02754962737491494
10800,0.00045319908537488907
11400,-1.4403558364906033e-06
12000,0.018043966749938592
12600,1.0326512384562676
13200,-0.6268189518329007
13800,0.09449676378768954
14400,-0.020701227709158387
15000,0.1905040101031521
15600,-0.5155461433888922
16200,-0.1464771509857123
16800,0.003249930188895342
17400,-0.8947156247597736
18000,-2.9485632598619484
18600,-8.737261173520638e-05
19200,0.2110837940942028
19800,0.6253960814672938
20400,-0.09729153438403171
21000,-0.619620795617331
21600,-0.0923318785965433
22200,-0.500619805362808
22800,-0.5155473796849004
23400,-0.4232326327079642
24000,0.018139486054061807
24600,0.001484770425038917
25200,-0.13411537451405975
25800,-1.019575672158603
26400,-0.42321288444076055
27000,-0.42257681653688905
27600,-1.1884697812279552
28200,-0.6937838124060083
28800,0.002260340350744683
29400,-0.4413920138416003
30000,-0.2537222417617032
30600,0.014661104780565246
31200,-0.027348760752632248
31800,3.632814227119696e-06
32400,-1.0094576876965973
33000,-0.5155474983594155
33600,-0.005125114784749807
34200,-0.42319860764145223
34800,-0.4232171795851009
35400,-0.027610392644825177
36000,0.13407124002315837
36600,0.4502909195376069
37200,-2.427016410500027e-05
37800,-0.42320561009463564
38400,-0.003953742759047862
39000,-0.6327646466028571
39600,1.0195757150996179
40200,0.06651118217594171
40800,-0.09178533209477081
41400,0.13407123800123716
42000,1.6646504175099608e-09
42600,-0.4552124368321132
43200,-2.198088998931143
43800,-0.8816312691026811
44400,0.3168239090513799
45000,-0.4232090460616157
45600,-2.121524944793778
46200,-0.540442447806875
46800,-0.4228488913699784
47400,-0.026050135098707128
48000,-0.0738136701607611
48600,-0.5160704521970026
49200,-1.0663155906888213
49800,-0.3647072911725573
50400,0.42325583570755143
51000,0.29328030424363727
51600,-0.5172954082090687
52200,0.13557156484695077
52800,-0.4477814900856996
53400,-0.4232201630384703
54000,-0.4232128728448633
54600,0.13407122622738832
55200,-0.40801613275346693
55800,0.004835136526443962
56400,-0.4232537360324604
57000,0.019650246750889958
57600,-1.038189474117623
58200,0.4232370424093241
58800,-0.4232061553007537
59400,0.5155473906637073
60000,-1.549861523572599
60600,0.23446922794993058
61200,-0.028777172191632658
61800,-0.00027035964700605764
62400,-0.027697995059671465
63000,-0.21512773564354531
63600,-0.8552181651995499
64200,-1.1136883110702054
64800,-6.457778756185917e-12
65400,-0.2536469510718662
66000,-1.008182895767209
66600,8.514677254933822e-07
67200,0.00025590352888571477
67800,-0.6439234076112074
68243,0.011607546575140487
