win_end,delta_0to1_minus_1to0
600,-0.2817070461436907
1200,-0.7948379452484351
1800,0.0
2400,0.3963471344006767
3000,0.3963471344006767
3600,0.0
4200,-0.3963471344006767
4800,0.0
5400,0.3963471344006767
6000,0.3963471344006767
6600,0.30093023167458793
7200,0.0
7800,0.3963471344006767
8400,0.0
9000,-0.5131308991047445
9600,-0.4510617219778744
10200,0.0
10800,0.0
11400,0.0
12000,0.0
12600,0.5131308991047445
13200,0.0
13800,0.0
14400,0.0
15000,0.0
15600,-0.4510617219778744
16200,-0.09541690272608877
16800,0.0
17400,-0.5131308991047445
18000,0.0
18600,0.0
19200,0.09541690272608877
19800,0.0
20400,-0.054714587577197715
21000,0.0
21600,-0.054714587577197715
22200,-0.3963471344006767
22800,-0.4510617219778744
23400,-0.3963471344006767
24000,0.0
24600,0.0
25200,-0.09541690272608877
25800,-0.5131308991047445
26400,-0.3963471344006767
27000,-0.3963471344006767
27600,-0.6954832020923809
28200,-0.3725802868352041
28800,0.0
29400,-0.3963471344006767
30000,-0.2817070461436907
30600,0.0
31200,0.0
31800,0.0
32400,-0.5131308991047445
33000,-0.4510617219778744
33600,0.0
34200,-0.3963471344006767
34800,-0.3963471344006767
35400,0.0
36000,0.09541690272608877
36600,0.2579401985782181
37200,0.0
37800,-0.3963471344006767
38400,0.0
39000,-0.4510617219778744
39600,0.5131308991047445
40200,0.054714587577197715
40800,0.0
41400,0.09541690272608877
42000,0.0
42600,-0.3963471344006767
43200,-1.2086141011971254
43800,-0.5131308991047445
44400,0.3963471344006767
45000,-0.3963471344006767
45600,-1.2086141011971254
46200,-0.3963471344006767
46800,-0.3963471344006767
47400,0.0
48000,-0.09541690272608877
48600,-0.4510617219778744
49200,-0.3963471344006767
49800,-0.20322561100102038
50400,0.3963471344006767
51000,0.2817070461436907
51600,-0.20322561100102038
52200,0.09541690272608877
52800,-0.3963471344006767
53400,-0.3963471344006767
54000,-0.3963471344006767
54600,0.09541690272608877
55200,-0.2579401985782181
55800,0.0
56400,-0.3963471344006767
57000,0.0
57600,-0.5131308991047445
58200,0.3963471344006767
58800,-0.3963471344006767
59400,0.4510617219778744
60000,-0.9641926210826188
60600,0.3963471344006767
61200,0.0
61800,0.0
62400,0.0
63000,-0.11464008825698602
63600,-0.5131308991047445
64200,-0.6085478018308332
64800,0.0
65400,-0.2817070461436907
66000,-0.4510617219778744
66600,0.0
67200,0.0
67800,0.0
68243,0.0
