win_end,delta_0to1_minus_1to0
600,0.16798197116010682
1200,-0.7409534918024863
1800,0.0
2400,0.0
3000,0.0
3600,0.16798197116010682
4200,-0.16798197116010682
4800,0.0
5400,0.0
6000,0.0
6600,0.0
7200,0.0
7800,0.0
8400,0.0
9000,0.0
9600,-0.7409534918024863
10200,0.0
10800,0.16798197116010682
11400,0.5729715206423796
12000,-0.16798197116010682
12600,0.5729715206423796
13200,0.0
13800,0.0
14400,0.16798197116010682
15000,-0.5729715206423796
15600,-0.16798197116010682
16200,0.7409534918024863
16800,-0.16798197116010682
17400,0.0
18000,-0.16798197116010682
18600,0.5729715206423796
19200,-0.16798197116010682
19800,-0.16798197116010682
20400,0.0
21000,0.0
21600,-0.16798197116010682
22200,-0.5729715206423796
22800,0.0
23400,0.0
24000,0.0
24600,-0.16798197116010682
25200,0.0
25800,0.16798197116010682
26400,0.16798197116010682
27000,-0.7409534918024863
27600,0.16798197116010682
28200,-0.16798197116010682
28800,-0.5729715206423796
29400,-0.16798197116010682
30000,0.0
30600,-0.5729715206423796
31200,0.7409534918024863
31800,-0.7409534918024863
32400,-0.5729715206423796
33000,-0.5729715206423796
33600,0.0
34200,0.16798197116010682
34800,0.0
35400,0.0
36000,0.16798197116010682
36600,-0.16798197116010682
37200,-0.7409534918024863
37800,0.0
38400,-0.16798197116010682
39000,0.0
39600,-0.7409534918024863
40200,0.7409534918024863
40800,0.0
41400,0.7409534918024863
42000,-0.16798197116010682
42600,0.16798197116010682
43200,0.5729715206423796
43800,-0.5729715206423796
44400,0.0
45000,-0.7409534918024863
45600,-0.5729715206423796
46200,-0.16798197116010682
46800,-0.7409534918024863
47400,0.16798197116010682
48000,-0.16798197116010682
48600,-0.7409534918024863
49200,0.0
49800,0.5729715206423796
50400,-0.16798197116010682
51000,0.0
51600,-0.5729715206423796
52200,-0.5729715206423796
52800,-0.7409534918024863
53400,-0.16798197116010682
54000,-0.5729715206423796
54600,0.0
55200,-0.5729715206423796
55800,0.0
56400,-0.7409534918024863
57000,0.0
57600,0.0
58200,0.0
58800,-0.5729715206423796
59400,0.7409534918024863
60000,-0.16798197116010682
60600,0.0
61200,0.0
61800,0.0
62400,0.0
63000,-0.7409534918024863
63600,0.0
64200,0.16798197116010682
64800,0.0
65400,0.0
66000,0.0
66600,-0.5729715206423796
67200,-0.5729715206423796
67800,0.7409534918024863
68243,0.0
