win_end,leader,label
200,109,TSMI
300,100,TSMI
400,100,TSMI
500,118,TSMI
501,119,TSMI
200,100,TE
300,100,TE
400,100,TE
500,100,TE
501,100,TE
200,110,GC
300,127,GC
400,128,GC
500,117,GC
501,124,GC
200,100,KRL-Flow
300,102,KRL-Flow
400,101,KRL-Flow
500,106,KRL-Flow
501,124,KRL-Flow
200,109,TSMI+KRL
300,100,TSMI+KRL
400,102,TSMI+KRL
500,118,TSMI+KRL
501,119,TSMI+KRL
200,105,TE+KRL
300,111,TE+KRL
400,101,TE+KRL
500,106,TE+KRL
501,124,TE+KRL
200,105,GC+KRL
300,111,GC+KRL
400,111,GC+KRL
500,110,GC+KRL
501,109,GC+KRL
