src,score
114,12.702172848466839
111,9.117641751227323
100,6.720597973962831
122,3.457983821416729
105,3.4335551901273114
115,3.368506262825491
112,2.946034366198058
107,2.740459110373673
124,1.6063508326011127
109,1.521512727447325
121,1.501972337495172
101,0.38676344484271497
117,0.2897163984032906
104,-0.38229162666703354
119,-0.5976975767672004
103,-0.6662388413934756
116,-0.6777722330261724
128,-0.8439871131284205
108,-1.4154993642900557
123,-1.5825817242017637
120,-1.7659375204974868
129,-1.8078865943143123
126,-2.292963700174782
113,-3.230303515204622
102,-3.4538127571146484
106,-4.06493588307026
110,-4.404053624924639
125,-6.499838268505043
127,-7.461472829287319
118,-8.645993892820686
