src,score
119,13.356244460024913
129,5.71666401846609
125,4.054567199035299
118,3.7579745861374922
105,3.6788612283100113
106,3.5163104612984104
126,2.509666041186934
114,2.141868354475962
122,1.5632324065165015
110,1.3136707212997378
113,1.2223622762819162
109,1.2092321707477827
104,1.125758501025209
100,0.8940490608352307
127,0.8564171510703719
107,0.7332882220703577
102,0.338012508673872
123,0.11672070227313482
128,-1.1935039692984093
116,-2.1305990434235254
101,-2.3068413283119256
121,-3.2625220347251216
117,-3.365546947665962
111,-3.5824739268900605
112,-3.6754867908811577
124,-3.7106992947429824
103,-4.662945743182056
108,-4.992572239503574
115,-6.889328863785025
120,-8.332379887319233
