src,score
100,82.73230430119254
105,34.193739779514544
113,33.519139176580204
111,26.54185814650124
122,24.80703692702409
110,22.395360036019234
114,21.943236710868714
101,21.345333487704238
109,17.787675632998226
106,14.964276493070466
126,14.898057857014486
118,14.125650147301911
102,12.275202742129784
112,11.683341615587494
104,10.365647513313803
103,8.376151974394189
125,7.2549204772300735
128,6.308721064409684
107,6.246852339590583
127,4.811026962721041
129,0.7356681765881496
115,0.3907893751484668
116,-0.36426280316726256
108,-4.006073275701407
117,-7.495457757010245
123,-9.691217639198285
124,-11.506680535711372
119,-17.135785010289375
120,-17.82592113689447
121,-35.516130916522414
