simulation,stride,lag,nbins_te,gc_maxlag,dist_thr,ablation,w_krl,w_tsmi,w_te,w_gc,w_spatial,w_knn,w_dtw,auroc,aupr,cliffs_delta,prec_at_k,recall_at_k,f1_at_k,hits_at_k,ndcg_at_k
1,1,4,12,6,inf,krlflow_only,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_only,1.2,0.4,0.3,0.3,0,0,0,0.7942339786381842,0.06401102680532353,0.5884679572763666,0.13333333333333333,0.05714285714285714,0.08,4.0,0.11765259217330594
1,1,4,12,6,inf,te_only,1.2,0.4,0.3,0.3,0,0,0,0.5,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,12,6,inf,gc_only,1.2,0.4,0.3,0.3,0,0,0,0.5973998664886516,0.024740102326548274,0.19479973297730244,0.03333333333333333,0.014285714285714285,0.02,1.0,0.03888053661056833
1,1,4,12,6,inf,tsmi_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,te_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
