src,score
100,36.93455973589236
105,14.966181289232447
113,14.276419013567356
111,10.202190144876251
114,9.020848787468628
110,7.971227304809148
101,6.614317760893443
109,6.210295320831826
106,5.019323930969275
102,4.968371444520009
112,3.563210456377508
122,3.4380299540885244
103,3.009512832625944
118,2.355543798217611
104,1.6922698682130763
107,1.1480420665988706
126,-0.11166736264818056
125,-2.919219572145559
128,-3.7629360691238736
127,-4.270463740136654
108,-5.239778915012505
129,-6.010877830423143
116,-8.011188143348623
115,-8.850003410993764
117,-10.315440078943908
123,-10.757331814796682
124,-12.581038402316143
120,-15.030909973389127
119,-16.381044875108103
121,-27.148443520795688
