src,score
110,47.80010704912066
100,37.66217129171714
103,37.0719679940229
107,36.01772176531985
111,33.52916428544698
104,32.76206753139869
113,28.667227974334637
108,28.564321455579076
109,26.75455189565618
106,24.970685165656015
114,22.21374645477771
105,21.768346623545522
101,18.100560199200803
102,12.57863701572152
112,4.010493531960828
129,-3.021318930826177
119,-7.48366284879871
121,-12.261814694392182
126,-15.816844323182368
127,-16.447510834771943
115,-20.503260546585917
124,-21.965053765822553
120,-22.830459915724035
116,-23.892800129028288
117,-28.878378878073953
118,-30.59561821191094
123,-30.622202249534332
128,-31.87496591158416
122,-32.6353611434492
125,-48.79793825118105
