win_end,leader,label
200,109,TSMI
300,107,TSMI
400,100,TSMI
500,100,TSMI
501,122,TSMI
200,100,TE
300,100,TE
400,100,TE
500,100,TE
501,100,TE
200,100,GC
300,100,GC
400,100,GC
500,100,GC
501,100,GC
200,109,KRL-Flow
300,107,KRL-Flow
400,100,KRL-Flow
500,100,KRL-Flow
501,122,KRL-Flow
200,109,TSMI+KRL
300,107,TSMI+KRL
400,100,TSMI+KRL
500,100,TSMI+KRL
501,122,TSMI+KRL
200,111,TE+KRL
300,110,TE+KRL
400,110,TE+KRL
500,104,TE+KRL
501,103,TE+KRL
200,111,GC+KRL
300,124,GC+KRL
400,110,GC+KRL
500,104,GC+KRL
501,109,GC+KRL
