simulation,stride,lag,nbins_te,gc_maxlag,dist_thr,ablation,w_krl,w_tsmi,w_te,w_gc,w_spatial,w_knn,w_dtw,auroc,aupr,cliffs_delta,prec_at_k,recall_at_k,f1_at_k,hits_at_k,ndcg_at_k
1,1,4,12,6,inf,krlflow_only,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,krlflow_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,te_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,te_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,te_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,gc_spatial,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,gc_knn_align,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,gc_dtw,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_te,1.2,0.4,0.3,0.3,0,0,0,0.876380173564753,0.09758404366180383,0.7527603471295036,0.16666666666666666,0.07142857142857142,0.1,5.0,0.18612966237477913
1,1,4,12,6,inf,tsmi_te_plus_krl,0.8,0.4,0.5,0.5,0,0,0,0.8539803070761014,0.07277538819187392,0.7079606141522006,0.16666666666666666,0.07142857142857142,0.1,5.0,0.12454845041882356
1,1,4,12,6,inf,tsmi_plus_krl,0.8,0.4,0.5,0.5,0,0,0,0.8514302403204271,0.07185650205929162,0.7028604806408522,0.16666666666666666,0.07142857142857142,0.1,5.0,0.12454845041882356
1,3,4,12,6,inf,tsmi_only,1.2,0.4,0.3,0.3,0,0,0,0.8016638851802403,0.04573084404026685,0.6033277703604787,0.0,0.0,0.0,0.0,0.0
1,1,4,12,6,inf,gc_plus_krl,0.8,0.4,0.5,0.5,0,0,0,0.7980924566088117,0.047945086195440724,0.5961849132176216,0.06666666666666667,0.02857142857142857,0.04,2.0,0.13362800794167817
1,1,4,12,6,inf,te_plus_krl,1.2,0.4,0.3,0.3,0,0,0,0.7795644192256342,0.0334944539186811,0.5591288384512665,0.0,0.0,0.0,0.0,0.0
1,1,4,12,6,inf,gc_only,1.2,0.4,0.3,0.3,0,0,0,0.5973998664886516,0.024740102326548274,0.19479973297730244,0.03333333333333333,0.014285714285714285,0.02,1.0,0.03888053661056833
1,1,4,12,6,inf,te_only,1.2,0.4,0.3,0.3,0,0,0,0.5,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,0.0
