src,score
100,21.722770901028756
113,21.44578840796079
107,19.73079489136196
111,19.536168005829907
104,18.197455126636562
105,16.895648612347085
112,16.433601927320023
103,15.721467391789055
106,13.164797495108395
102,13.026665058077628
109,12.982203742377736
108,11.579157159994425
114,10.63168236219364
110,8.55058555369798
101,2.549346898010588
127,1.5723112819210279
124,-7.227810974271331
128,-7.755243482512765
125,-10.852590880140715
120,-11.412961535853542
126,-12.303145283031226
123,-12.820256998731915
121,-13.022399996110355
115,-16.722733971263974
119,-19.285663000179113
122,-19.517378924026957
117,-20.084020885362563
118,-21.768326423515358
129,-23.211404755741096
116,-27.756507704914704
