simulation,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,spatial,knn,dtw,gate,r2_auto,r2_gain_max,lag_cons,is_true
8,0,200,101,100,0.0,0.053003533568904596,0.06310679611650485,0.06927710843373494,10.770329614269007,0.3098971383793194,5.455272678794342,0.9995927786573922,0.28272124198245885,0.07829418352406736,0.5093823928276061,0
8,0,200,102,100,0.0,0.053003533568904596,0.06310679611650485,0.05102040816326531,11.045361017187261,0.30353857952327423,5.692099788303083,0.9980221167684485,0.28272124198245885,0.06294967997410728,0.5044576424715538,0
8,0,200,103,100,0.0,0.053003533568904596,0.07894736842105263,0.05102040816326531,10.04987562112089,0.297186234702023,5.678027826631356,0.9979495970394091,0.28272124198245885,0.06258721169987413,0.5098939666444788,0
8,0,200,104,100,0.0,0.0,0.029940119760479042,0.06927710843373494,10.770329614269007,0.27857489549400294,5.374011537017761,0.9995556116475146,0.28272124198245885,0.07891392281518805,0.509779866007121,0
8,0,200,105,100,0.0,0.0,0.029940119760479042,0.06927710843373494,12.041594578792296,0.26754560880104233,5.9531504264548865,0.9959944444784896,0.28272124198245885,0.05776117621271404,0.5048600775843872,0
8,0,200,106,100,0.0,0.0,0.029940119760479042,0.06927710843373494,11.112850452343105,0.2496708966183681,5.749782604586021,0.9982807618093221,0.28272124198245885,0.06682066947347176,0.5096688150121381,0
8,0,200,107,100,0.0,0.053003533568904596,0.07894736842105263,0.06752411575562701,10.816653826391969,0.28310637584621917,4.547526800360829,0.9995123543427062,0.28272124198245885,0.07785794803175305,0.5064626829754656,0
8,0,200,108,100,0.0,0.053003533568904596,0.029940119760479042,0.06752411575562701,11.247024193241856,0.3285745021180511,6.190315016216864,0.9990843141853823,0.28272124198245885,0.06947489774525428,0.5052319553173462,0
8,0,200,109,100,0.0,0.053003533568904596,0.029940119760479042,0.06752411575562701,9.848857801796104,0.2823168441054471,5.427706698044765,0.9998949186060214,0.28272124198245885,0.09301670774489501,0.5090864706246171,0
8,0,200,110,100,0.0,0.0,0.029940119760479042,0.06752411575562701,11.045361017187261,0.29629168256711447,5.522680508593631,0.9956310283685701,0.28272124198245885,0.05527697029150891,0.5073204076966864,0
