src,score
100,75.86104392088356
114,68.6961980201263
110,62.60143526463289
111,57.609653819845825
107,56.19413039705439
112,50.254597441523785
106,46.85416501627139
102,44.82907632078931
109,41.24559305561439
108,41.12909785018169
105,39.19922120240167
113,37.61029720825766
104,31.296817089793517
101,28.70119347820078
103,28.483424869493398
128,-22.017475207124267
120,-29.336064917708956
124,-32.90619897615261
121,-33.668940120175215
119,-38.98706426861288
123,-43.594051194811485
125,-46.49580533198688
126,-49.14514346249318
117,-51.83648351081089
116,-53.56563420743879
122,-56.913213900742946
129,-59.89117952212825
118,-60.44329455770763
115,-63.72701436966703
127,-68.0383814075097
