src,score
109,11.760728244027591
110,11.379938098709006
112,10.568007017016678
113,10.032659565999696
105,9.407508109541991
107,9.288207770874997
103,9.079777728577847
102,7.576337846443388
114,7.541995546958946
100,4.930348929170385
101,4.132609579094803
104,3.917566909686969
106,3.625970169822654
108,2.141461473318702
111,1.6743325488719496
115,-0.6242626558635342
121,-0.9359767398771341
129,-2.1764154316384716
123,-2.5623088756781067
116,-3.295725973274406
124,-3.9279548014259746
120,-5.199252572574825
126,-5.590950604158333
122,-6.560284483347255
119,-7.436985378118664
127,-7.497871799771691
118,-8.856376210853254
128,-10.269325327129511
117,-10.917511825963384
125,-11.117366196506435
