method,leader_rank_mean,leader_rank_std,mean_followers_rank_mean,mean_followers_rank_std,mean_indep_rank_mean,mean_indep_rank_std,delta_FI_mean,delta_FI_std,followers_at_top15_mean,followers_at_top15_std,indep_at_top15_mean,indep_at_top15_std,prop_followers_below_leader_mean,prop_followers_below_leader_std,prop_pairs_FI_ordered_mean,prop_pairs_FI_ordered_std
gc_only,7.7,7.944949478896779,13.728571428571428,2.9923939862102857,17.673333333333332,2.961222637049238,3.9447619047619042,5.930878920273438,8.9,2.806737924669451,5.4,2.9514591494904874,0.7428571428571429,0.3089738704287302,0.6342857142857142,0.2046425147200351
gc_plus_krl,7.0,2.8284271247461903,8.55,0.8384536571256594,22.553333333333335,0.657755254869653,14.003333333333334,1.4890378813325524,12.9,1.1972189997378646,1.1,1.1972189997378648,0.5714285714285714,0.2020305089104422,0.968095238095238,0.0469825182049752
krlflow_only,1.5,1.2692955176439846,8.821428571428573,0.44702341322663314,22.666666666666664,0.3771236166328252,13.845238095238097,0.8205297590044762,13.1,1.1005049346146119,0.9,1.1005049346146119,0.9642857142857142,0.0906639655459989,0.9761904761904763,0.026937401188058957
te_only,1.0,0.0,8.5,0.0,23.0,0.0,14.5,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
te_plus_krl,8.5,3.6285901761795403,8.157142857142857,0.4134913018303313,22.82,0.26114656969640176,14.662857142857144,0.6396246379718575,13.2,0.9189365834726814,0.8,0.9189365834726815,0.4642857142857143,0.25918501258425286,0.9871428571428572,0.018653326406885842
tsmi_only,1.0,0.0,8.87857142857143,0.3883945675933875,22.64666666666667,0.3625015964204952,13.768095238095238,0.750896164013883,13.0,1.0540925533894598,1.0,1.0540925533894598,1.0,0.0,0.9747619047619047,0.025892971172892503
tsmi_plus_krl,1.3,0.9486832980505138,8.957142857142857,0.5706343687217236,22.553333333333335,0.5097082196078483,13.596190476190475,1.0786173880907262,12.9,1.1972189997378644,1.1,1.1972189997378648,0.9785714285714284,0.06776309271789385,0.968095238095238,0.03640772997198917
