simulation,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,spatial,knn,dtw,gate,r2_auto,r2_gain_max,lag_cons,is_true
5,0,200,101,100,0.0,0.0,0.005917159763313609,0.06594594594594595,7.810249675906654,0.364349504438843,5.259277516921882,0.9902415500140211,0.281404577170267,0.043429361862410865,0.5047566061107116,0
5,0,200,102,100,0.0,0.0,0.07462686567164178,0.06594594594594595,8.246211251235321,0.3219824199095476,5.6,0.9989357515665644,0.281404577170267,0.06768690818564216,0.5086315189672668,0
5,0,200,103,100,0.0,0.0,0.07462686567164178,0.12,7.0710678118654755,0.4027724984287716,4.654030511288038,0.9963366303785085,0.281404577170267,0.05125648329326771,0.5071855123506186,0
5,0,200,104,100,0.0,0.027932960893854747,0.005917159763313609,0.04,7.0710678118654755,0.38129902040676134,4.317406628984581,0.9954871759496708,0.281404577170267,0.050303388849619046,0.5027812924183305,0
5,0,200,105,100,0.0,0.0,0.005917159763313609,0.041666666666666664,7.141085181396727,0.35258473896307013,4.287190222045203,0.9926396628049895,0.281404577170267,0.0466978877486367,0.5057940223381372,0
5,0,200,106,100,0.0,0.0,0.08421052631578947,0.06594594594594595,7.615773105863909,0.38530422912316953,5.401851534427802,0.9977616517560309,0.281404577170267,0.05714032706063199,0.506735729459574,0
5,0,200,107,100,0.0,0.0,0.005917159763313609,0.06594594594594595,7.0710678118654755,0.37819951490884807,4.4362146025637665,0.9943079962740925,0.281404577170267,0.04794846693966903,0.5095994476282475,0
5,0,200,108,100,0.0,0.0,0.005917159763313609,0.06594594594594595,6.708203932499369,0.4592985081647338,4.638965401897281,0.9941502315261915,0.281404577170267,0.043830394564529085,0.5051246945260858,0
5,0,200,109,100,0.0,0.0,0.005917159763313609,0.04,8.06225774829855,0.36608785431118496,4.312771730569565,0.9758511623401774,0.281404577170267,0.03410558928229912,0.507801332869602,0
5,0,200,110,100,0.0,0.0,0.07462686567164178,0.06594594594594595,7.035533905932738,0.3697299832107018,3.778888725538237,0.9950396451204666,0.281404577170267,0.04977069759951813,0.508056307018618,0
5,0,200,111,100,0.0,0.0,0.07291666666666667,0.06594594594594595,7.141085181396727,0.38999811509230087,4.230839160261236,0.9992974347974433,0.281404577170267,0.06818525222330896,0.5167887849018948,0
5,0,200,112,100,0.0,0.0,0.005917159763313609,0.06594594594594595,7.615773105863909,0.4255718366860273,4.720169488482378,0.998748503370024,0.281404577170267,0.06092122478207562,0.5111406702255095,0
5,0,200,113,100,0.0,0.0,0.07462686567164178,0.06594594594594595,8.246211251235321,0.4164031776881161,4.947726750741193,0.9995694841837576,0.281404577170267,0.07201951002041973,0.5163093014088838,0
5,0,200,114,100,0.0,0.0,0.005917159763313609,0.06594594594594595,7.905124837953327,0.38946330037770527,5.3535035257296695,0.9988984404843043,0.281404577170267,0.06385755425203699,0.5161053415125545,0
5,0,200,115,100,,,,,32.60915444437473,,,,,,,0
5,0,200,116,100,,,,,27.06849031200093,,,,,,,0
5,0,200,117,100,,,,,25.545955680101255,,,,,,,0
5,0,200,118,100,,,,,26.28776525769063,,,,,,,0
5,0,200,119,100,,,,,27.100078560930047,,,,,,,0
5,0,200,120,100,,,,,27.76285442408853,,,,,,,0
5,0,200,121,100,,,,,23.42803404924808,,,,,,,0
5,0,200,122,100,,,,,28.40086679057867,,,,,,,0
5,0,200,123,100,,,,,34.74730608736228,,,,,,,0
5,0,200,124,100,,,,,18.310507115541288,,,,,,,0
5,0,200,125,100,,,,,23.39600055526828,,,,,,,0
5,0,200,126,100,,,,,27.800666372987106,,,,,,,0
