src,score
100,36.721342442432906
109,31.572111859586478
101,29.941173090921975
114,25.25350979368286
102,24.024176406791504
106,24.01477860991342
103,22.89576497657302
111,21.3431601900526
113,17.33921661695495
104,17.26120483936522
112,17.110527982412446
110,16.60725064788445
105,16.17771818172468
108,9.338186921836888
118,8.398518416552333
107,8.206293809189456
123,-4.428474784532904
119,-5.419176445788508
128,-5.741894363819762
121,-6.275563949193715
124,-7.155688705862053
125,-8.696285217080826
127,-10.411356850753247
126,-13.116896845705698
129,-13.633076345816319
115,-14.089790753012716
120,-14.622735020194652
116,-16.230309141613027
117,-16.242367611271636
122,-21.77906424538816
