src,score
108,42.2296175290544
104,40.61652368347889
102,35.252499413939354
114,32.758603056890664
111,32.496783421538616
103,31.955573931196373
110,31.510895753498616
109,30.356654473113196
106,27.114364328203873
113,25.520761713773258
112,24.04831461876204
107,17.739015183145053
100,17.492743930829025
101,14.79647342596151
105,3.5823219052338593
126,-9.52881279372207
115,-10.587272339834547
120,-11.371054675372564
116,-14.382675429551357
119,-15.308457728195581
124,-17.52952735448806
123,-18.800313706197905
127,-19.500785142034093
128,-19.948989149184996
122,-25.109236498834118
117,-29.72100336213713
125,-30.733156211558374
121,-31.323414602693752
129,-37.920087845711194
118,-43.03853009595239
