simulation,method,leader_rank,mean_followers_rank,std_followers_rank,mean_indep_rank,std_indep_rank,delta_FI,followers_at_top15,indep_at_top15,prop_followers_below_leader,prop_pairs_FI_ordered
1,tsmi_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
1,tsmi_plus_krl,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
1,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
1,te_plus_krl,12.0,7.714285714285714,4.333071682315172,23.0,4.320493798938574,15.285714285714285,14,0,0.21428571428571427,1.0
1,gc_only,2.0,15.785714285714286,9.072553361088373,16.133333333333333,7.770599862444484,0.3476190476190464,8,6,1.0,0.5142857142857142
1,gc_plus_krl,10.0,7.857142857142857,4.437778447716876,23.0,4.320493798938574,15.142857142857142,14,0,0.35714285714285715,1.0
1,krlflow_only,2.0,8.428571428571429,4.152697672499609,23.0,4.320493798938574,14.571428571428571,14,0,0.9285714285714286,1.0
2,tsmi_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
2,tsmi_plus_krl,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
2,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
2,te_plus_krl,11.0,7.857142857142857,4.517539514526256,22.933333333333334,4.434210439550904,15.076190476190476,13,1,0.2857142857142857,0.9952380952380953
2,gc_only,16.0,14.5,7.404149415795752,16.4,9.844118379350517,1.8999999999999986,8,7,0.42857142857142855,0.5619047619047619
2,gc_plus_krl,5.0,8.285714285714286,4.510758115384841,22.933333333333334,4.434210439550904,14.647619047619047,13,1,0.7142857142857143,0.9952380952380953
2,krlflow_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
3,tsmi_only,1.0,9.285714285714286,4.65109159888563,22.266666666666666,5.813394495091105,12.98095238095238,12,2,1.0,0.9476190476190476
3,tsmi_plus_krl,1.0,9.357142857142858,4.60755812082004,22.2,5.991104516976259,12.842857142857142,12,2,1.0,0.9428571428571428
3,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
3,te_plus_krl,5.0,8.214285714285714,4.394453832934864,23.0,4.320493798938574,14.785714285714286,14,0,0.7142857142857143,1.0
3,gc_only,20.0,14.714285714285714,8.480469759803333,15.933333333333334,8.977502746062267,1.21904761904762,7,8,0.2857142857142857,0.5380952380952381
3,gc_plus_krl,7.0,8.785714285714286,5.115502648512536,22.333333333333332,5.641118880348314,13.547619047619046,12,2,0.5714285714285714,0.9523809523809523
3,krlflow_only,1.0,9.285714285714286,4.65109159888563,22.266666666666666,5.813394495091105,12.98095238095238,12,2,1.0,0.9476190476190476
4,tsmi_only,1.0,9.071428571428571,4.463571371419427,22.466666666666665,5.487764167268447,13.395238095238094,13,1,1.0,0.9619047619047619
4,tsmi_plus_krl,1.0,9.071428571428571,4.463571371419427,22.466666666666665,5.487764167268447,13.395238095238094,13,1,1.0,0.9619047619047619
4,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
4,te_plus_krl,2.0,8.428571428571429,4.152697672499609,23.0,4.320493798938574,14.571428571428571,14,0,0.9285714285714286,1.0
4,gc_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
4,gc_plus_krl,7.0,8.071428571428571,4.463571371419427,23.0,4.320493798938574,14.928571428571429,14,0,0.5714285714285714,1.0
4,krlflow_only,1.0,9.071428571428571,4.463571371419427,22.466666666666665,5.487764167268447,13.395238095238094,13,1,1.0,0.9619047619047619
5,tsmi_only,1.0,8.928571428571429,4.5585756816025285,22.6,5.070174224488412,13.671428571428573,13,1,1.0,0.9714285714285714
5,tsmi_plus_krl,1.0,9.142857142857142,4.718612732832498,22.4,5.450382249591919,13.257142857142856,13,1,1.0,0.9571428571428572
5,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
5,te_plus_krl,7.0,8.928571428571429,5.762740986151415,22.2,5.369047091120236,13.27142857142857,11,3,0.5714285714285714,0.9428571428571428
5,gc_only,17.0,12.785714285714286,7.8846919627173,17.933333333333334,8.880440429518249,5.147619047619047,9,6,0.35714285714285715,0.6714285714285714
5,gc_plus_krl,5.0,10.214285714285714,6.4606343278634295,21.133333333333333,6.76132794320432,10.91904761904762,11,3,0.7142857142857143,0.8666666666666667
5,krlflow_only,1.0,8.928571428571429,4.5585756816025285,22.6,5.070174224488412,13.671428571428573,13,1,1.0,0.9714285714285714
6,tsmi_only,1.0,9.285714285714286,5.270247641627633,22.266666666666666,5.2973788067517145,12.98095238095238,12,2,1.0,0.9476190476190476
6,tsmi_plus_krl,1.0,9.857142857142858,5.667666978536393,21.733333333333334,6.1042790092051185,11.876190476190477,11,3,1.0,0.9095238095238095
6,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
6,te_plus_krl,7.0,8.214285714285714,4.708329570764857,22.866666666666667,4.529410067056808,14.652380952380954,13,1,0.5714285714285714,0.9904761904761905
6,gc_only,14.0,15.928571428571429,7.59195331268843,15.2,9.77888882576475,-0.7285714285714295,7,7,0.5,0.4714285714285714
6,gc_plus_krl,5.0,8.214285714285714,4.394453832934864,23.0,4.320493798938574,14.785714285714286,14,0,0.7142857142857143,1.0
